50.0,7,4592,1,640,2417,1,1
50.47,4,7446,1,256,967,1,1
50.47,3,3842,1,192,725,1,1
50.93,6,2755,1,384,1450,1,1
50.93,1,653,1,64,242,1,1
50.93,2,2275,1,128,484,1,1
51.4,7,4592,1,640,2417,1,1
51.4,7,4592,1,640,2417,1,1
51.4,7,4592,1,640,2417,1,1
51.4,4,7446,1,256,967,1,1
51.86,3,3842,1,192,725,1,1
51.86,1,653,1,64,242,1,1
51.86,6,2755,1,384,1450,1,1
51.86,6,2755,1,384,1450,1,1
51.86,5,6650,1,320,1209,1,1
52.33,7,4592,1,640,2417,1,1
52.33,7,4592,1,640,2417,1,1
52.33,6,2755,1,384,1450,1,1
52.33,2,2275,1,128,484,1,1
52.33,4,7446,1,256,967,1,1
52.33,5,6650,1,320,1209,1,1
52.79,2,2275,1,128,484,1,1
52.79,4,7446,1,256,967,1,1
52.79,8,3191,1,704,2659,1,1
52.79,3,3842,1,192,725,1,1
52.79,8,3191,1,704,2659,1,1
52.79,3,3842,1,192,725,1,1
52.79,7,4592,1,640,2417,1,1
53.26,8,3191,1,704,2659,1,1
53.26,1,653,1,64,242,1,1
53.26,8,3191,1,704,2659,1,1
53.26,7,4592,1,640,2417,1,1
53.26,2,2275,1,128,484,1,1
53.26,4,7446,1,256,967,1,1
53.26,2,2275,1,128,484,1,1
53.26,7,4592,1,640,2417,1,1
53.72,1,653,1,64,242,1,1
53.72,1,653,1,64,242,1,1
53.72,4,7446,1,256,967,1,1
53.72,3,3842,1,192,725,1,1
53.72,8,3191,1,704,2659,1,1
53.72,7,4592,1,640,2417,1,1
53.72,5,6650,1,320,1209,1,1
53.72,1,653,1,64,242,1,1
53.72,6,2755,1,384,1450,1,1
54.19,4,7446,1,256,967,1,1
54.19,5,6650,1,320,1209,1,1
54.19,8,3191,1,704,2659,1,1
54.19,1,653,1,64,242,1,1
54.19,6,2755,1,384,1450,1,1
54.19,8,3191,1,704,2659,1,1
54.19,3,3842,1,192,725,1,1
54.19,8,3191,1,704,2659,1,1
54.19,3,3842,1,192,725,1,1
54.19,8,3191,1,704,2659,1,1
54.65,3,3842,1,192,725,1,1
54.65,7,4592,1,640,2417,1,1
54.65,4,7446,1,256,967,1,1
54.65,5,6650,1,320,1209,1,1
54.65,7,4592,1,640,2417,1,1
54.65,8,3191,1,704,2659,1,1
54.65,3,3842,1,192,725,1,1
54.65,6,2755,1,384,1450,1,1
54.65,6,2755,1,384,1450,1,1
54.65,2,2275,1,128,484,1,1
54.65,5,6650,1,320,1209,1,1
