1.05,9,3736,1,136,5534
1.28,23,312,1,152,1235
1.45,10,11625,1,273,14918
1.86,9,8133,1,136,5534
1.89,9,4289,1,136,5534
2.03,9,4289,1,136,5534
2.22,9,5827,1,136,5534
2.39,22,53941,1,166,4710
2.74,9,74830,1,136,5534
2.94,10,14918,1,273,14918
2.98,1,3248,1,138,16877
3.15,23,358,1,152,1235
3.27,17,2025,1,261,740
3.39,9,4783,1,136,5534
3.4,9,4289,1,136,5534
3.59,9,4289,1,136,5534
3.88,9,4111,1,136,5534
4.03,9,5827,1,136,5534
4.48,9,5827,1,136,5534
4.59,9,5534,1,136,5534
4.64,9,8133,1,136,5534
5.17,9,4111,1,136,5534
5.36,9,5827,1,136,5534
5.37,9,5534,1,136,5534
5.51,9,5827,1,136,5534
5.57,10,12012,1,273,14918
5.93,9,5534,1,136,5534
6.08,9,5827,1,136,5534
6.26,9,8133,1,136,5534
6.29,9,8133,1,136,5534
6.32,9,5534,1,136,5534
6.37,9,8133,1,136,5534
6.57,9,5534,1,136,5534
6.93,23,23685,1,152,1235
6.99,23,1938,1,152,1235
6.99,16,793,1,244,793
7.12,9,8133,1,136,5534
7.22,9,3736,1,136,5534
7.31,10,77208,1,273,14918
7.55,9,3736,1,136,5534
7.65,9,5827,1,136,5534
7.75,9,3736,1,136,5534
7.76,3,312,1,287,1617
7.92,23,358,1,152,1235
7.93,9,8133,1,136,5534
7.98,9,4783,1,136,5534
8.1,9,5827,1,136,5534
8.41,9,5534,1,136,5534
8.42,9,4111,1,136,5534
8.48,9,5827,1,136,5534
8.5,23,312,1,152,1235
8.5,10,14918,1,273,14918
9.01,23,821,1,152,1235
9.19,23,1938,1,152,1235
9.3,9,5534,1,136,5534
9.47,23,23685,1,152,1235
9.57,9,8133,1,136,5534
9.78,9,4289,1,136,5534
9.95,8,3866,1,151,4629
9.97,9,5827,1,136,5534
10.48,9,4111,1,136,5534
11.07,9,4783,1,136,5534
11.27,17,331,1,261,740
11.69,9,5534,1,136,5534
11.79,9,4783,1,136,5534
11.82,9,5827,1,136,5534
11.95,9,4111,1,136,5534
12.11,11,1291,1,311,1291
12.14,9,3736,1,136,5534
12.26,23,1235,1,152,1235
12.32,10,77208,1,273,14918
12.51,9,4111,1,136,5534
12.68,1,19682,1,138,16877
12.71,16,1297,1,244,793
12.83,10,13886,1,273,14918
12.87,10,95037,1,273,14918
12.88,10,13886,1,273,14918
13.13,9,74830,1,136,5534
13.13,9,74830,1,136,5534
13.23,9,3736,1,136,5534
13.43,21,15108,1,141,6515
13.65,9,4111,1,136,5534
13.75,9,8133,1,136,5534
13.81,9,5827,1,136,5534
13.86,9,5827,1,136,5534
13.86,9,3736,1,136,5534
13.87,10,12012,1,273,14918
14.06,9,5827,1,136,5534
14.29,23,1235,1,152,1235
14.31,9,4289,1,136,5534
14.35,9,4289,1,136,5534
14.55,10,9748,1,273,14918
14.59,10,95037,1,273,14918
14.63,9,3736,1,136,5534
14.73,10,14918,1,273,14918
14.79,9,74830,1,136,5534
14.82,9,3736,1,136,5534
14.9,9,3736,1,136,5534
14.93,1,3248,1,138,16877
14.93,9,5827,1,136,5534
15.03,3,312,1,287,1617
15.11,9,3736,1,136,5534
15.32,9,8133,1,136,5534
15.65,9,4289,1,136,5534
15.85,23,388,1,152,1235
16.3,9,5534,1,136,5534
16.5,9,4783,1,136,5534
16.51,10,14918,1,273,14918
16.65,9,5827,1,136,5534
16.65,9,5827,1,136,5534
16.84,9,5827,1,136,5534
16.85,9,4111,1,136,5534
16.88,23,1235,1,152,1235
17.12,16,11774,1,244,793
17.48,9,5534,1,136,5534
17.54,22,312,1,166,4710
17.86,13,2236,1,155,11631
17.98,9,3736,1,136,5534
18.17,23,821,1,152,1235
18.23,9,8133,1,136,5534
18.34,16,11774,1,244,793
18.53,23,1938,1,152,1235
18.65,9,3736,1,136,5534
18.72,9,4111,1,136,5534
18.73,9,8133,1,136,5534
18.93,9,4289,1,136,5534
19.02,16,173,1,244,793
19.1,19,63660,1,183,41380
19.11,1,48033,1,138,16877
19.35,9,4783,1,136,5534
19.37,9,3736,1,136,5534
19.42,9,5534,1,136,5534
19.86,9,8133,1,136,5534
19.96,9,4289,1,136,5534
20.05,23,51585,1,152,1235
20.16,9,5827,1,136,5534
20.58,9,74830,1,136,5534
20.63,10,13886,1,273,14918
20.7,9,4111,1,136,5534
20.87,23,23685,1,152,1235
20.87,23,312,1,152,1235
21.21,9,4783,1,136,5534
21.3,9,4783,1,136,5534
21.31,9,5534,1,136,5534
21.38,9,74830,1,136,5534
21.69,7,2332,1,304,1664
21.72,9,5534,1,136,5534
21.78,9,5534,1,136,5534
21.92,9,5827,1,136,5534
21.93,9,4111,1,136,5534
22.07,23,1235,1,152,1235
22.18,9,5827,1,136,5534
22.18,9,4783,1,136,5534
22.36,9,8133,1,136,5534
22.37,23,821,1,152,1235
22.39,9,5827,1,136,5534
22.46,10,13886,1,273,14918
22.55,10,77208,1,273,14918
22.57,9,4289,1,136,5534
22.59,10,12012,1,273,14918
22.8,9,5827,1,136,5534
22.81,9,5827,1,136,5534
22.97,9,4111,1,136,5534
22.97,9,8133,1,136,5534
23.0,9,5827,1,136,5534
23.42,17,740,1,261,740
23.55,9,4783,1,136,5534
23.62,9,74830,1,136,5534
24.34,8,4629,1,151,4629
24.66,9,5827,1,136,5534
24.69,10,13886,1,273,14918
24.95,1,3749,1,138,16877
24.96,9,74830,1,136,5534
25.03,9,4783,1,136,5534
25.04,9,74830,1,136,5534
25.19,9,4111,1,136,5534
25.26,10,9748,1,273,14918
25.27,9,74830,1,136,5534
25.72,23,23685,1,152,1235
25.77,9,4783,1,136,5534
25.91,9,5827,1,136,5534
26.14,9,4111,1,136,5534
26.16,23,388,1,152,1235
26.35,23,51585,1,152,1235
26.4,9,74830,1,136,5534
26.49,9,4289,1,136,5534
26.66,16,124,1,244,793
26.67,9,5827,1,136,5534
26.81,9,5534,1,136,5534
27.08,9,5534,1,136,5534
27.23,9,4783,1,136,5534
27.3,23,388,1,152,1235
27.34,23,358,1,152,1235
27.54,9,3736,1,136,5534
28.04,9,5534,1,136,5534
28.11,9,4783,1,136,5534
28.19,10,95037,1,273,14918
28.21,23,821,1,152,1235
28.26,23,388,1,152,1235
28.31,10,11625,1,273,14918
28.5,9,4111,1,136,5534
28.66,9,74830,1,136,5534
28.67,9,5534,1,136,5534
28.74,23,51585,1,152,1235
29.05,9,4783,1,136,5534
29.11,1,3749,1,138,16877
29.17,9,74830,1,136,5534
29.53,9,4111,1,136,5534
29.78,1,10741,1,138,16877
29.8,9,4111,1,136,5534
29.88,9,3736,1,136,5534
30.11,10,11625,1,273,14918
30.17,9,4111,1,136,5534
30.22,9,4783,1,136,5534
30.62,10,11625,1,273,14918
30.67,9,4111,1,136,5534
30.69,9,3736,1,136,5534
30.77,10,11625,1,273,14918
31.12,9,4111,1,136,5534
31.22,17,480,1,261,740
31.36,9,4289,1,136,5534
31.45,9,74830,1,136,5534
31.47,9,3736,1,136,5534
31.75,9,74830,1,136,5534
32.01,9,4111,1,136,5534
32.11,9,4289,1,136,5534
32.21,23,51585,1,152,1235
32.53,9,4783,1,136,5534
32.57,23,312,1,152,1235
32.73,9,5827,1,136,5534
32.73,11,5616,1,311,1291
32.89,9,4783,1,136,5534
33.01,9,4289,1,136,5534
33.15,9,3736,1,136,5534
33.17,9,4111,1,136,5534
33.55,10,95037,1,273,14918
33.7,9,4289,1,136,5534
33.91,1,48033,1,138,16877
34.11,9,4783,1,136,5534
34.17,9,3736,1,136,5534
34.45,23,388,1,152,1235
34.88,23,23685,1,152,1235
34.91,23,1938,1,152,1235
34.97,9,74830,1,136,5534
